SalePrice,Size,Beds,Baths,Num_Garage,Year,Highway,Aircondition,SwimmingPool
360,3.032,4,4,2,1972,no,yes,no
340,2.058,4,2,2,1976,no,yes,no
250,1.78,4,3,2,1980,no,yes,no
205.5,1.638,4,2,2,1963,no,yes,no
275.5,2.196,4,3,2,1968,no,yes,no
248,1.966,4,3,5,1972,no,yes,yes
229.9,2.216,3,2,2,1972,no,yes,no
150,1.597,2,1,1,1955,no,yes,no
195,1.622,3,2,2,1975,no,yes,no
160,1.976,3,3,1,1918,no,no,no
190,2.812,7,5,2,1966,no,no,yes
559,2.791,3,4,3,1992,no,yes,no
535,3.381,5,4,3,1988,no,yes,no
525,3.459,5,4,2,1978,no,yes,no
299.9,2.09,3,3,2,1987,no,yes,no
527,3.232,5,5,2,1984,no,yes,no
169.9,1.502,2,2,2,1956,no,yes,no
335.25,2.747,3,4,2,1993,no,yes,no
323.9,2.89,4,3,2,1954,no,yes,no
200,1.825,3,3,2,1957,no,yes,no
211,1.578,4,3,2,1986,no,yes,no
212,1.763,3,3,2,1959,no,yes,no
245,2.517,4,3,2,1965,no,yes,no
140.4,1.872,3,2,2,1985,no,yes,no
295,3.266,3,3,2,1908,no,yes,no
170.9,2.02,1,2,1,1956,no,yes,no
229,2.164,4,2,2,1965,no,yes,no
218.5,2.08,3,2,2,1959,no,yes,yes
160,2.208,2,2,2,1985,no,yes,no
259,3.048,6,4,3,1960,no,yes,no
164.5,1.46,3,2,2,1978,no,yes,no
280,2.54,3,2,2,1940,no,no,no
154,2.208,2,2,2,1985,no,yes,no
272,2.56,4,2,3,1977,no,yes,no
180,2.061,4,2,2,1958,no,no,no
157.5,1.98,3,2,2,1957,no,yes,no
242.5,3.308,5,4,2,1928,no,yes,no
182,2.616,5,3,2,1955,no,no,no
178,1.46,4,2,2,1961,no,yes,no
171.9,1.58,2,1,1,1951,no,no,no
165.5,1.46,3,2,2,1960,no,yes,no
183.5,1.54,3,2,2,1992,no,yes,no
135,1.388,2,1,2,1951,no,no,no
175,1.624,3,2,2,1948,no,yes,no
149.5,1.58,2,1,2,1966,no,yes,no
177.5,1.82,3,2,2,1960,no,yes,no
155,1.733,4,1,1,1936,no,yes,no
145,1.896,3,2,2,1925,no,no,no
178,2.038,2,2,2,1918,no,no,no
156,1.436,3,2,3,1920,no,no,no
159,1.69,3,2,1,1922,no,no,no
160,1.496,2,2,1,1900,no,no,no
112,1.668,2,1,1,1948,no,no,no
84,0.98,1,1,1,1951,no,no,no
155,2.562,3,2,2,1885,no,no,no
360,2.304,5,4,3,1978,no,yes,no
104,1.268,2,1,1,1947,no,no,no
420,2.283,3,3,3,1997,yes,yes,no
355,2.06,2,3,2,1997,yes,yes,no
165,2.087,2,2,2,1966,yes,yes,no
244,2.081,4,2,2,1980,yes,yes,no
179.9,1.696,3,3,2,1978,yes,yes,no
253,2.222,4,2,2,1955,yes,no,no
200,2.11,5,3,2,1957,yes,yes,no
200,1.774,4,2,2,1963,yes,no,no
147.7,1.592,3,2,2,1957,yes,yes,no
188.7,1.748,3,2,2,1972,yes,yes,no
177,1.985,3,1,2,1948,yes,no,no
585,2.558,2,4,3,1984,no,yes,yes
549.9,4,6,5,3,1979,no,yes,yes
675,3.942,4,3,2,1990,no,yes,no
830,3.889,4,4,3,1991,no,yes,no
920,3.857,4,5,3,1997,no,yes,no
855,4.756,4,4,3,1990,no,yes,no
585.5,3.302,4,3,3,1982,no,yes,no
399,2.629,3,3,2,1989,no,yes,no
790,4.418,5,5,3,1997,no,yes,no
665,4.746,4,4,3,1996,no,yes,no
725,3.242,3,3,3,1989,no,yes,no
647,2.464,3,3,3,1992,no,yes,no
780,4.419,4,5,7,1987,no,yes,no
657.5,3.877,3,3,3,1992,no,yes,no
578,3.808,5,4,3,1982,no,yes,no
500,3.376,5,4,2,1947,no,yes,no
484.53,2.94,3,3,3,1979,no,yes,yes
609,2.654,5,3,3,1997,no,yes,no
635,2.672,4,3,3,1995,no,yes,no
519,3.386,4,4,3,1994,no,yes,no
625.1,3.648,4,4,3,1992,no,yes,no
585.444,3.455,4,5,3,1995,no,yes,no
399.9,3.321,3,4,3,1971,no,yes,yes
389.9,2.817,4,3,3,1996,no,yes,no
649,3.21,3,5,3,1995,no,yes,no
535,3.588,4,5,3,1987,no,yes,no
640,2.705,3,3,3,1994,no,yes,no
600,2.344,4,3,2,1925,no,yes,no
582.5,4.264,5,4,4,1995,no,yes,no
545,2.615,3,3,3,1996,no,yes,no
480,3.608,6,4,3,1981,no,yes,no
595,2.479,4,4,3,1989,no,yes,no
610,3.251,3,4,3,1985,no,yes,yes
570,2.547,2,3,3,1996,no,yes,no
479,5.032,7,3,3,1989,no,yes,no
545,4.973,6,6,3,1987,no,yes,yes
335,2.582,4,3,2,1966,no,yes,no
629,3.139,6,4,2,1977,no,yes,yes
505.5,3.516,4,4,3,1979,no,yes,no
370,2.936,4,4,3,1987,no,yes,no
529,3.351,5,4,3,1994,no,yes,no
490,3.136,4,4,3,1989,no,yes,no
535,3.525,4,5,3,1996,no,yes,no
612,3.917,6,5,3,1995,no,yes,no
442.5,2.702,4,3,3,1991,no,yes,no
500,3.644,3,4,3,1984,no,yes,no
539,3.072,4,4,3,1992,no,yes,no
545.5,3.233,4,4,3,1991,no,yes,no
424,2.918,4,4,3,1988,no,yes,no
325,3.266,4,3,3,1985,no,yes,no
367,2.94,4,7,2,1988,no,yes,no
470,3.43,3,4,2,1966,no,yes,yes
393,2.472,4,4,3,1987,no,yes,no
530,2.878,4,4,3,1992,no,yes,no
400,2.537,3,3,2,1993,no,yes,no
403.5,3.858,4,4,3,1987,no,yes,no
550,2.742,3,3,3,1991,no,yes,no
380,3.46,5,4,2,1972,no,yes,no
500,3.836,5,4,3,1982,no,yes,no
465,4.453,7,5,2,1974,no,yes,no
451.5,4.08,5,4,3,1983,no,yes,no
336,3.301,3,4,2,1977,no,yes,no
550,3.828,4,5,2,1975,no,yes,yes
450,2.973,4,3,2,1980,no,yes,no
440,2.821,5,4,2,1962,no,yes,yes
515,2.95,5,3,2,1969,no,yes,no
415,2.362,3,3,2,1977,no,yes,no
380,3.092,3,4,2,1978,no,yes,no
489.5,2.866,4,4,2,1982,no,no,no
478,3.369,5,4,3,1981,no,yes,no
460,3.068,4,4,3,1988,no,yes,no
379.9,2.38,3,3,3,1998,no,yes,no
390,2.225,2,3,3,1997,no,yes,no
338,2.655,3,3,2,1948,no,yes,no
675,3.855,4,4,3,1996,no,yes,no
440,2.892,4,4,2,1977,no,yes,no
500,3.832,4,3,2,1952,no,yes,no
470,3.164,6,4,2,1982,no,yes,no
317.5,2.62,3,2,3,1925,no,yes,no
430,3.076,6,4,3,1984,no,yes,no
430,4.022,6,4,3,1986,no,yes,no
475,3.377,4,3,3,1997,no,yes,no
389,2.858,5,4,1,1989,no,yes,no
400,3.54,4,4,3,1980,no,yes,yes
395,3.045,4,3,1,1991,no,yes,no
395,4.15,4,3,3,1934,no,no,no
296,1.778,2,2,2,1991,no,yes,no
387.5,2.412,2,3,3,1986,no,yes,no
353,2.668,4,3,2,1978,no,yes,no
350,2.274,4,3,3,1986,no,yes,no
437.632,2.936,4,3,3,1980,no,yes,no
447.5,2.526,2,2,0,1996,no,yes,no
318.5,2.449,4,4,2,1985,no,yes,no
352,3.131,4,4,2,1988,no,yes,no
295,2.536,3,3,3,1987,no,yes,no
313.5,3.314,2,3,3,1984,no,yes,no
330,2.23,3,2,2,1986,no,yes,no
400,2.631,4,4,2,1985,no,no,no
325,2.638,4,3,2,1978,no,yes,no
340,2.756,4,3,2,1973,no,yes,yes
399.9,3.262,5,4,2,1978,no,yes,no
249.9,1.936,4,4,3,1987,no,yes,no
389,3.148,4,4,3,1969,no,yes,yes
364.5,2.616,3,4,2,1977,no,yes,no
357.5,3.63,4,3,2,1969,no,yes,no
295,1.954,3,3,3,1962,no,yes,yes
274.5,1.926,5,3,2,1986,no,yes,no
259,2.556,3,2,2,1957,no,yes,no
415,2.282,5,4,2,1987,no,yes,no
443,3.314,3,4,3,1986,no,yes,no
249,2.001,3,3,2,1981,no,yes,no
330,2.607,5,2,2,1976,no,yes,no
291,2.84,4,4,2,1965,no,yes,no
418,3.036,3,5,2,1977,no,no,no
320,2.24,4,2,3,1974,no,yes,no
264,1.788,3,3,2,1969,no,no,no
381,2.62,5,4,2,1965,no,yes,no
250,1.48,3,3,2,1984,no,yes,no
360,2.588,3,3,2,1968,no,yes,yes
369.5,3.138,4,4,2,1969,no,yes,no
285.4,2.46,5,4,2,1979,no,yes,no
409,3.566,4,4,2,1976,no,yes,no
333,2.692,5,4,3,1984,no,yes,no
362,2.958,5,4,3,1987,no,yes,no
387.5,3.164,4,4,2,1966,no,yes,yes
239,2.058,3,3,2,1969,no,yes,no
299.9,2.717,3,4,2,1983,no,yes,no
335,2.92,4,3,3,1987,no,yes,no
275,2.554,5,3,2,1960,no,yes,no
328,2.805,3,4,2,1988,no,yes,no
333,2.736,4,3,2,1979,no,yes,yes
397,3.516,5,7,3,1996,no,yes,no
374.8,3.536,6,4,2,1978,no,yes,yes
520,2.138,5,3,3,1956,no,yes,no
325,2.718,4,4,3,1978,no,yes,no
295,2.178,5,3,2,1958,no,yes,no
415,3.152,5,4,2,1980,no,yes,no
224.9,2.611,3,3,2,1987,no,yes,no
265,2.06,4,3,2,1981,no,yes,no
299.9,2.448,4,4,3,1979,no,yes,no
390,4.05,6,5,2,1966,no,yes,yes
271,2.414,3,3,2,1914,no,yes,no
330,3.072,4,3,2,1966,no,yes,no
350,2.525,3,3,3,1983,no,yes,no
310,2.866,5,3,3,1961,no,yes,no
340,3.246,4,4,3,1987,no,yes,no
307,2.707,4,4,2,1992,no,yes,no
304,2.3,5,3,2,1961,no,yes,no
275.9,1.86,3,3,2,1957,no,yes,no
315,3.636,5,3,2,1976,no,yes,no
295,1.91,4,3,2,1968,no,yes,no
251.01,2.28,4,2,2,1956,no,yes,no
335,3.386,4,5,2,1965,no,no,no
343.5,2.324,5,4,3,1967,no,yes,no
297,1.97,4,3,2,1972,no,yes,no
281,2.062,3,3,2,1977,no,yes,yes
235,2.617,4,3,2,1985,no,yes,no
237,2.612,4,3,2,1985,no,yes,no
274.9,2.472,3,3,2,1969,no,yes,no
229.9,1.922,4,2,2,1957,no,yes,no
259,1.852,3,2,2,1984,no,yes,no
245,2.239,3,3,2,1986,no,yes,no
208,2.068,3,2,2,1979,no,yes,no
421,2.101,3,3,2,1956,no,no,no
320,2.2,4,3,2,1968,no,yes,no
256,1.972,3,3,2,1989,no,no,no
275,2.007,3,3,2,1959,no,yes,yes
222,2.612,4,3,2,1985,no,yes,no
249.9,2.124,4,1,3,1974,no,yes,no
273.5,2.612,4,3,2,1985,no,yes,no
218.5,2.548,2,2,2,1984,no,yes,no
377,2.767,3,3,3,1941,no,yes,no
220,2.025,3,3,2,1989,no,yes,no
192.9,1.956,4,2,2,1962,no,yes,no
298.75,2.46,4,3,2,1967,no,yes,no
315,2.764,3,3,3,1972,no,yes,no
315,2.004,4,3,2,1967,no,yes,no
465.9,2.852,4,3,2,1961,no,yes,yes
239.5,2.096,3,3,2,1977,no,yes,no
276,2.33,3,3,2,1989,no,yes,no
226,2.52,4,3,2,1978,no,yes,no
235,2.528,3,3,2,1977,no,yes,no
247,2.03,4,3,3,1988,no,yes,no
182,2.208,2,2,2,1985,no,yes,no
180,1.5,2,1,0,1938,no,yes,no
249,2.078,5,3,2,1965,no,yes,no
260,2.442,4,3,2,1969,no,yes,no
219.9,2.612,3,3,2,1986,no,yes,no
295,2.268,4,3,3,1972,no,yes,no
290,2.734,4,3,2,1971,no,yes,no
300,2.228,4,3,2,1982,no,yes,no
354.9,3,5,4,3,1973,no,yes,no
261,2.404,5,3,3,1973,no,yes,yes
174.5,1.84,3,2,2,1960,no,yes,no
244.9,2.107,3,2,2,1947,no,no,no
274.9,2.788,4,3,2,1984,no,yes,no
214,2.416,3,3,2,1984,no,yes,no
283,2.43,3,4,3,1984,no,yes,no
177.9,1.584,3,2,2,1989,no,yes,no
237.5,1.873,3,3,2,1978,no,yes,no
202.15,1.644,4,3,2,1976,no,yes,no
235,2.4,4,3,2,1976,no,yes,no
217,2.094,4,3,2,1984,no,yes,no
285,2.561,3,3,3,1981,no,yes,no
217.5,1.752,3,2,2,1976,no,yes,no
210,1.738,5,3,2,1983,no,yes,no
183.34,2.068,3,2,3,1977,no,yes,no
252,2.428,4,3,2,1966,no,yes,no
237,2.09,4,2,2,1969,no,yes,no
205,1.82,3,2,2,1944,no,yes,no
285,3.219,4,4,2,1944,no,yes,no
210,2.654,3,5,2,1962,no,yes,no
280,1.802,4,3,2,1956,no,yes,no
207,1.765,3,2,2,1976,no,yes,no
221,2.786,4,3,2,1976,no,yes,no
257,1.794,3,2,2,1960,no,yes,no
274,2.768,3,3,2,1921,no,no,no
262,2.288,3,2,2,1963,no,yes,no
204.4,2.028,3,2,2,1951,no,yes,no
254.9,2.62,5,3,2,1966,no,yes,no
244,1.644,3,3,2,1980,no,yes,no
213,1.888,3,2,3,1958,no,yes,no
240,2.116,4,3,2,1964,no,yes,no
235,2.313,4,3,2,1972,no,yes,no
206,1.824,4,2,2,1959,no,yes,no
237,1.942,4,3,2,1972,no,yes,no
274,2.184,4,3,2,1977,no,yes,no
275,2.578,3,3,2,1965,no,yes,no
218.4,2.036,4,3,2,1960,no,yes,no
156,1.384,2,1,2,1961,no,no,no
220,1.826,4,3,2,1952,no,yes,no
171.5,1.681,3,2,1,1957,no,yes,no
180,1.726,3,2,2,1962,no,yes,no
204,1.91,3,2,2,1958,no,yes,no
307,2.664,4,3,2,1962,no,yes,no
265,2.116,3,3,2,1976,no,yes,no
209.9,2.03,3,3,2,1959,no,yes,no
173,1.94,3,2,2,1956,no,no,no
189,1.676,3,3,2,1965,no,no,no
222.5,2.12,3,2,2,1959,no,yes,yes
265,2.152,4,3,2,1987,no,yes,no
264.67,1.984,4,3,2,1966,no,yes,no
200.75,1.575,3,3,2,1957,no,yes,no
227.9,1.798,3,3,2,1978,no,yes,no
255,2.017,3,1,1,1958,no,no,no
208.5,1.904,3,3,2,1978,no,yes,no
226.9,1.718,3,3,2,1976,no,yes,no
215,1.776,4,2,1,1980,no,no,no
222.95,2.609,4,3,2,1961,no,yes,no
239.9,2.226,3,3,2,1955,no,yes,no
176,1.556,2,1,3,1959,no,yes,no
228,1.764,2,2,2,1985,no,yes,no
204.9,1.626,3,3,2,1968,no,yes,yes
258,2.012,5,3,2,1967,no,yes,no
241.85,2.09,4,4,2,1963,no,yes,no
198.5,2.192,4,2,2,1963,no,yes,no
243,2.228,4,4,2,1965,no,yes,no
187,1.825,4,2,2,1963,no,yes,no
233,2.132,4,3,2,1966,no,yes,no
205,2.16,3,2,2,1983,no,yes,no
205,1.974,3,2,2,1954,no,yes,no
189,1.696,3,3,2,1968,no,yes,no
204.9,2.132,3,3,2,1969,no,yes,no
239,1.814,4,3,2,1979,no,yes,yes
193,1.796,3,2,2,1963,no,yes,no
260,2.268,5,3,2,1971,no,yes,no
188,1.719,2,3,2,1960,no,yes,no
190.5,1.704,3,2,2,1984,no,yes,no
230,2.142,3,2,2,1959,no,yes,no
240,1.705,4,2,2,1972,no,yes,no
235,1.752,4,3,2,1978,no,yes,no
275,2.554,5,3,2,1966,no,yes,yes
205,1.65,3,2,2,1965,no,yes,no
280,2.816,5,3,2,1946,no,yes,no
190,1.919,3,4,2,1938,no,yes,no
232.5,2.08,3,2,2,1968,no,yes,no
259.5,2.108,4,4,2,1978,no,yes,no
275,2.48,3,3,2,1964,no,yes,no
183.9,1.746,3,2,2,1974,no,yes,no
290,2.703,3,3,4,1963,no,no,no
217.95,1.64,4,2,2,1979,no,yes,no
220,2.196,4,3,2,1972,no,yes,no
185,1.701,3,2,1,1982,no,yes,no
288,2.25,3,2,2,1949,no,yes,no
197.5,2.502,4,2,2,1964,no,yes,no
179.975,1.762,4,3,2,1959,no,yes,no
195,2.016,4,3,2,1963,no,yes,no
228.4,1.904,3,3,2,1976,no,yes,yes
194.75,1.652,5,2,2,1960,no,yes,no
195,2.042,4,3,2,1963,no,no,no
210,2.019,4,3,3,1960,no,yes,no
239.55,2.791,5,3,3,1946,no,yes,no
242,2.514,4,3,1,1953,no,yes,no
185,1.746,3,2,2,1984,no,yes,no
175,1.93,3,2,2,1956,no,yes,no
165,1.552,3,1,3,1959,no,yes,no
185,1.566,4,2,2,1993,no,yes,no
173.194,1.669,3,2,2,1964,no,yes,no
205.15,1.814,3,3,2,1978,no,yes,no
214.2,1.794,3,3,3,1976,no,yes,no
182.5,1.691,3,2,2,1968,no,yes,yes
205,1.834,4,3,2,1959,no,yes,no
208,1.984,5,3,2,1961,no,yes,no
225,1.966,4,3,2,1962,no,yes,no
170,1.669,3,2,2,1967,no,yes,no
216,2.132,4,3,2,1976,no,yes,no
180,2.007,4,3,2,1959,no,yes,no
169.2,1.964,4,2,2,1964,no,yes,no
213,2.325,4,3,3,1973,no,yes,no
210,2.196,4,3,2,1965,no,yes,no
185,2.061,3,2,2,1956,no,yes,no
179.9,1.828,3,2,2,1956,no,yes,no
196,1.956,4,3,2,1968,no,yes,no
219.9,1.852,6,3,2,1968,no,yes,no
159.9,1.795,1,2,2,1980,no,yes,no
170,1.58,2,1,1,1950,no,no,no
169.9,1.708,3,1,1,1950,no,no,no
189.5,1.7,4,2,2,1953,no,no,no
195,1.742,1,1,2,1961,no,yes,no
215,1.89,4,2,2,1961,no,yes,no
171,1.512,2,1,1,1956,no,no,no
179.9,1.84,3,1,2,1953,no,no,no
120,1.06,2,1,2,1947,no,no,no
175,1.54,3,2,2,1957,no,no,no
232.9,1.55,4,2,2,1962,no,yes,yes
229.9,2.787,4,2,1,1922,no,yes,no
174.9,1.528,2,2,2,1982,no,yes,no
168.9,1.928,2,2,2,1941,no,no,no
229.5,2.329,3,2,2,1960,no,yes,no
236,1.94,4,3,2,1959,no,yes,no
205.5,2.114,5,2,2,1966,no,yes,no
212,1.799,3,2,2,1962,no,yes,no
205,1.864,3,2,2,1940,no,yes,no
193,1.581,3,2,2,1956,no,yes,no
180,1.652,3,2,2,1959,no,yes,no
184,1.592,4,2,2,1977,no,no,no
144.9,1.52,3,1,1,1953,no,no,no
255,1.792,2,2,2,1955,no,yes,no
137,1.464,2,1,1,1957,no,no,no
178,1.702,3,2,2,1961,no,no,no
296,2.18,3,2,2,1952,no,yes,no
186.5,1.486,2,2,2,1958,no,yes,no
170,1.364,2,1,2,1942,no,no,no
219,1.54,4,2,2,1977,no,yes,no
188,1.608,4,2,2,1969,no,yes,no
195.25,1.668,3,1,2,1956,no,yes,no
175,1.944,3,2,2,1951,no,yes,no
215,1.883,4,2,2,1956,no,yes,yes
197.5,2.215,4,1,2,1948,no,no,no
249.9,1.916,2,2,2,1954,no,yes,no
180,1.508,2,2,2,1959,no,yes,no
174.9,1.809,3,1,2,1958,no,yes,no
189.9,1.958,4,3,2,1935,no,no,no
154,1.592,2,1,2,1951,no,yes,no
150,1.636,2,1,2,1950,no,yes,no
189.9,1.8,3,2,2,1964,no,no,no
157,1.6,3,1,2,1950,no,no,no
182,1.55,3,1,2,1966,no,yes,no
187.65,1.578,3,1,2,1958,no,yes,no
175,1.644,3,1,2,1956,no,yes,no
189.9,1.556,3,2,1,1959,no,yes,no
175,1.672,3,1,2,1949,no,yes,no
159.9,1.65,2,2,1,1957,no,yes,no
184.9,1.676,3,2,2,1956,no,no,no
174.9,1.96,2,2,2,1947,no,no,no
143,1.649,3,1,1,1951,no,yes,no
164.9,1.728,3,1,1,1950,no,yes,no
173.5,1.586,3,2,1,1958,no,yes,no
161.8,1.592,2,1,1,1951,no,no,no
148,1.514,2,2,1,1964,no,yes,no
177,1.952,4,2,2,1963,no,yes,no
149.9,1.55,3,1,2,1956,no,yes,no
170,1.544,2,2,1,1957,no,no,no
142,1.566,3,1,1,1959,no,no,no
186.9,1.65,3,2,2,1961,no,yes,no
152.9,1.392,2,2,2,1951,no,no,no
350,2.981,5,4,2,1950,no,yes,no
130,1.412,2,1,1,1940,no,no,no
167.9,2.18,4,2,2,1948,no,no,no
184.9,1.704,2,2,2,1954,no,yes,no
178,1.6,3,2,2,1957,no,yes,no
111,1.276,3,2,1,1951,no,no,no
207,1.666,4,2,1,1954,no,no,no
190,1.76,3,2,2,1974,no,yes,no
230,1.836,3,2,2,1946,no,no,no
165,1.636,3,1,2,1953,no,no,no
210,1.748,3,2,2,1957,no,yes,no
226,2.556,4,2,2,1923,no,no,no
149.9,1.511,4,1,1,1954,no,yes,no
155,1.524,3,2,2,1958,no,yes,no
219.9,1.821,4,2,2,1956,no,yes,no
132,1.596,1,1,0,1940,no,no,no
195,2.392,4,2,2,1960,no,no,no
155.9,1.748,2,1,2,1956,no,yes,no
119.9,1.384,2,1,0,1949,no,no,no
175,1.628,3,1,2,1957,no,yes,yes
304,1.911,4,2,2,1953,no,yes,no
190,1.624,4,3,1,1959,no,no,no
229.1,1.956,3,2,2,1984,no,yes,yes
187.5,2.012,4,2,2,1953,no,no,no
173,1.59,2,2,2,1956,no,yes,no
170,1.687,2,1,1,1941,no,yes,no
179,1.816,4,1,2,1956,no,yes,no
162.5,1.622,3,1,1,1956,no,yes,no
172,1.604,4,2,2,1954,no,yes,no
153.2,1.592,4,2,1,1956,no,no,no
220,1.922,3,2,2,1952,no,yes,no
174,1.892,3,1,1,1955,no,yes,no
200,1.628,3,1,2,1959,no,yes,no
161,1.644,2,2,2,1956,no,yes,no
135,1.45,3,1,2,1955,no,yes,no
190,1.592,3,2,2,1959,no,yes,no
153.8,1.654,2,1,2,1962,no,no,no
144.9,1.388,2,1,2,1950,no,yes,no
165,1.67,3,2,2,1953,no,no,no
186,1.953,3,2,1,1956,no,yes,no
167,2.008,3,1,2,1963,no,yes,no
189.6,1.65,3,2,2,1960,no,yes,no
170,1.578,3,1,2,1975,no,yes,no
189.5,1.618,3,2,2,1962,no,yes,no
153.5,1.642,3,1,2,1959,no,no,no
159.9,2.008,1,2,2,1941,no,yes,no
158,1.604,3,2,1,1960,no,yes,no
175,2.035,4,2,3,1962,no,yes,no
147,1.534,3,2,1,1955,no,no,no
155,1.624,2,2,2,1955,no,yes,no
150,1.7,4,2,1,1954,no,yes,no
165,1.63,3,2,2,1978,no,yes,no
147,1.526,3,2,1,1957,no,yes,no
146.25,1.672,3,1,2,1949,no,yes,no
177.5,1.588,4,2,2,1980,no,yes,no
153.65,1.752,4,2,2,1950,no,yes,no
199.5,1.674,4,2,2,1947,no,no,no
186,1.98,3,1,1,1927,no,no,no
139.9,1.396,1,1,2,1950,no,no,no
160,1.178,1,1,2,1959,no,no,no
125,1.263,2,2,0,1955,no,no,no
359.9,2.377,5,2,2,1937,no,yes,no
184.5,1.304,3,1,2,1951,no,yes,no
155,1.34,3,1,0,1952,no,no,no
150,1.559,2,1,2,1952,no,no,no
146,1.412,1,2,0,1920,no,yes,no
129,1.198,2,2,2,1925,no,yes,no
145,1.424,2,1,2,1947,no,yes,no
200,1.37,4,1,1,1925,no,no,no
149.9,1.584,3,2,2,1957,no,yes,no
132,1.567,2,1,1,1934,no,yes,no
136.9,1.409,2,1,1,1951,no,no,no
137,1.655,2,1,1,1935,no,no,no
185,1.944,3,2,2,1939,no,yes,no
133.5,1.922,3,1,2,1950,no,no,no
124,1.48,3,2,2,1953,no,yes,no
95.5,1.184,2,1,1,1951,no,no,no
